f, module, argument
1.318621401394748460e+01,9.999999999999997780e-01,-1.006371594813313536e-01
1.330834724654075352e+01,1.000000000000000222e+00,-1.015692795868787801e-01
1.343161170046015940e+01,9.999999999999998890e-01,-1.025100331532379783e-01
1.355601785329368170e+01,1.000000000000000000e+00,-1.034595001447895929e-01
1.368157627967471868e+01,1.000000000000000000e+00,-1.044177612665491139e-01
1.380829765218092398e+01,9.999999999999998890e-01,-1.053848979710260009e-01
1.393619274224142757e+01,1.000000000000000000e+00,-1.063609924651472971e-01
1.406527242105237185e+01,1.000000000000000000e+00,-1.073461277172445688e-01
1.419554766050101513e+01,1.000000000000000000e+00,-1.083403874641059444e-01
1.432702953409831004e+01,1.000000000000000000e+00,-1.093438562180934215e-01
1.445972921792019505e+01,1.000000000000000000e+00,-1.103566192743258428e-01
1.459365799155756882e+01,9.999999999999997780e-01,-1.113787627179289724e-01
1.472882723907502545e+01,9.999999999999997780e-01,-1.124103734313517816e-01
1.486524844997857109e+01,9.999999999999998890e-01,-1.134515391017515834e-01
1.500293322019218323e+01,1.000000000000000000e+00,-1.145023482284465571e-01
1.514189325304351996e+01,1.000000000000000000e+00,-1.155628901304380646e-01
1.528214036025870115e+01,1.000000000000000000e+00,-1.166332549540022023e-01
1.542368646296628221e+01,9.999999999999998890e-01,-1.177135336803515758e-01
1.556654359271061949e+01,1.000000000000000222e+00,-1.188038181333685023e-01
1.571072389247450474e+01,9.999999999999998890e-01,-1.199042009874093651e-01
1.585623961771137225e+01,1.000000000000000222e+00,-1.210147757751814240e-01
1.600310313738700785e+01,1.000000000000000000e+00,-1.221356368956926924e-01
1.615132693503090522e+01,9.999999999999998890e-01,-1.232668796222750746e-01
1.630092360979741173e+01,1.000000000000000000e+00,-1.244086001106822076e-01
1.645190587753662470e+01,1.000000000000000000e+00,-1.255608954072619243e-01
1.660428657187529566e+01,9.999999999999998890e-01,-1.267238634572047939e-01
1.675807864530768043e+01,9.999999999999998890e-01,-1.278976031128689350e-01
1.691329517029647889e+01,1.000000000000000000e+00,-1.290822141421811842e-01
1.706994934038407763e+01,1.000000000000000000e+00,-1.302777972371177151e-01
1.722805447131393919e+01,1.000000000000000000e+00,-1.314844540222610547e-01
1.738762400216250370e+01,9.999999999999998890e-01,-1.327022870634383955e-01
1.754867149648151070e+01,1.000000000000000000e+00,-1.339313998764385949e-01
1.771121064345087603e+01,9.999999999999998890e-01,-1.351718969358099709e-01
1.787525525904235479e+01,1.000000000000000000e+00,-1.364238836837404212e-01
1.804081928719382688e+01,9.999999999999998890e-01,-1.376874665390188102e-01
