w, module, argument
1.000000000000000000e+00,4.000392037627531808e-04,1.798853971335061033e+02
1.011591112223829692e+00,4.093676846955720487e-04,1.798840684920854187e+02
1.023316578330244919e+00,4.189137180232612150e-04,1.798827244408483921e+02
1.035177955630176339e+00,4.286823784059080617e-04,1.798813648008481039e+02
1.047176819485520216e+00,4.386788589255837239e-04,1.798799893910514527e+02
1.059314763518369951e+00,4.489084738521779603e-04,1.798785980283152810e+02
1.071593399822671211e+00,4.593766614739392632e-04,1.798771905273608525e+02
1.084014359178331111e+00,4.700889869942457351e-04,1.798757667007491250e+02
1.096579291267809841e+00,4.810511454961573035e-04,1.798743263588550292e+02
1.109289864895222744e+00,4.922689649763442978e-04,1.798728693098416898e+02
1.122147768207980345e+00,5.037484094500176623e-04,1.798713953596343913e+02
1.135154708920999012e+00,5.154955821285321562e-04,1.798699043118940608e+02
1.148312414543511073e+00,5.275167286713709726e-04,1.798683959679904376e+02
1.161622632608501959e+00,5.398182405142561494e-04,1.798668701269751296e+02
1.175087130904807653e+00,5.524066582751742480e-04,1.798653265855540724e+02
1.188707697711903322e+00,5.652886752401539922e-04,1.798637651380597902e+02
1.202486142037412220e+00,5.784711409306656817e-04,1.798621855764233430e+02
1.216424293857367944e+00,5.919610647545634798e-04,1.798605876901457918e+02
1.230524004359261570e+00,6.057656197425364489e-04,1.798589712662692932e+02
1.244787146187906313e+00,6.198921463720806144e-04,1.798573360893483084e+02
1.259215613694151026e+00,6.343481564810477024e-04,1.798556819414196468e+02
1.273811323186478495e+00,6.491413372728869167e-04,1.798540086019727937e+02
1.288576213185518071e+00,6.642795554157280994e-04,1.798523158479195843e+02
1.303512244681509058e+00,6.797708612375236853e-04,1.798506034535637639e+02
1.318621401394748593e+00,6.956234930195088215e-04,1.798488711905694970e+02
1.333905690039058900e+00,7.118458813902974565e-04,1.798471188279305295e+02
1.349367140588306757e+00,7.284466538229831655e-04,1.798453461319379869e+02
1.365007806546014058e+00,7.454346392376733250e-04,1.798435528661482010e+02
1.380829765218092531e+00,7.628188727119456381e-04,1.798417387913504228e+02
1.396835117988739938e+00,7.806086003017669722e-04,1.798399036655333703e+02
1.413025990599533932e+00,7.988132839754813648e-04,1.798380472438521167e+02
1.429404533431761326e+00,8.174426066635382369e-04,1.798361692785941273e+02
1.445972921792019861e+00,8.365064774266879090e-04,1.798342695191449536e+02
1.462733356201129986e+00,8.560150367454430692e-04,1.798323477119535880e+02
1.479688062686396410e+00,8.759786619336697904e-04,1.798304036004972488e+02
1.496839293077255828e+00,8.964079726792392342e-04,1.798284369252457111e+02
1.514189325304352129e+00,9.173138367147424177e-04,1.798264474236255239e+02
1.531740463702079946e+00,9.387073756213426198e-04,1.798244348299832325e+02
1.549495039314631839e+00,9.605999707689122195e-04,1.798223988755483163e+02
1.567455410205595312e+00,9.830032693956762112e-04,1.798203392883961271e+02
1.585623961771137402e+00,1.005929190830665313e-03,1.798182557934095769e+02
1.604003107056820143e+00,1.029389932862355417e-03,1.798161481122409100e+02
1.622595287078087534e+00,1.053397978256954146e-03,1.798140159632726807e+02
1.641402971144466871e+00,1.077966101429881935e-03,1.798118590615784171e+02
1.660428657187529966e+00,1.103107375274071456e-03,1.798096771188826040e+02
1.679674872092653537e+00,1.128835178148804427e-03,1.798074698435202663e+02
1.699144172034626310e+00,1.155163201032892439e-03,1.798052369403960711e+02
1.718839142817145893e+00,1.182105454846097987e-03,1.798029781109425471e+02
1.738762400216250725e+00,1.209676277942786215e-03,1.798006930530783904e+02
1.758916590327732843e+00,1.237890343781895917e-03,1.797983814611656328e+02
1.779304389918577867e+00,1.266762668777420648e-03,1.797960430259664122e+02
1.799928506782476845e+00,1.296308620333676710e-03,1.797936774345995445e+02
1.820791680099463017e+00,1.326543925069764620e-03,1.797912843704957879e+02
1.841896680799711250e+00,1.357484677237705316e-03,1.797888635133532773e+02
1.863246311931560317e+00,1.389147347338871722e-03,1.797864145390918793e+02
1.884843409033795991e+00,1.421548790943425681e-03,1.797839371198070921e+02
1.906690840512252461e+00,1.454706257717596233e-03,1.797814309237232635e+02
1.928791508020778256e+00,1.488637400663749694e-03,1.797788956151464959e+02
1.951148346846616866e+00,1.523360285578318667e-03,1.797763308544163579e+02
1.973764326300256000e+00,1.558893400732790915e-03,1.797737362978573969e+02
1.996642450109793909e+00,1.595255666783070231e-03,1.797711115977297709e+02
2.019785756819878930e+00,1.632466446912667199e-03,1.797684564021795381e+02
2.043197320195270894e+00,1.670545557215298051e-03,1.797657703551875841e+02
2.066880249629082567e+00,1.709513277322613186e-03,1.797630530965187177e+02
2.090837690555750417e+00,1.749390361282913932e-03,1.797603042616694324e+02
2.115072824868795109e+00,1.790198048696864906e-03,1.797575234818152126e+02
2.139588871343422127e+00,1.831958076116342029e-03,1.797547103837569011e+02
2.164389086064020695e+00,1.874692688712728842e-03,1.797518645898667842e+02
2.189476762856621406e+00,1.918424652221114961e-03,1.797489857180334525e+02
2.214855233726359618e+00,1.963177265166993375e-03,1.797460733816060099e+02
2.240527869300018793e+00,2.008974371382270165e-03,1.797431271893377698e+02
2.266498079273693289e+00,2.055840372817489305e-03,1.797401467453286159e+02
2.292769312865649223e+00,2.103800242657419620e-03,1.797371316489673632e+02
2.319345059274428245e+00,2.152879538747286704e-03,1.797340814948724699e+02
2.346228848142263068e+00,2.203104417337101509e-03,1.797309958728322385e+02
2.373424250023866922e+00,2.254501647151788222e-03,1.797278743677445618e+02
2.400934876860652434e+00,2.307098623794904234e-03,1.797247165595551053e+02
2.428764382460451010e+00,2.360923384494036451e-03,1.797215220231950923e+02
2.456916462982790872e+00,2.416004623196096098e-03,1.797182903285179236e+02
2.485394857429799043e+00,2.472371706020952322e-03,1.797150210402352002e+02
2.514203348142797445e+00,2.530054687082092940e-03,1.797117137178514383e+02
2.543345761304649066e+00,2.589084324683146865e-03,1.797083679155980462e+02
2.572825967447933238e+00,2.649492097899391971e-03,1.797049831823663339e+02
2.602647881969005539e+00,2.711310223553560408e-03,1.797015590616395002e+02
2.632815465648020936e+00,2.774571673595504443e-03,1.796980950914235677e+02
2.663332725174981874e+00,2.839310192895517539e-03,1.796945908041774373e+02
2.694203713681883272e+00,2.905560317461349483e-03,1.796910457267416632e+02
2.725432531281029025e+00,2.973357393089226357e-03,1.796874593802664322e+02
2.757023325609583519e+00,3.042737594459420710e-03,1.796838312801381505e+02
2.788980292380440762e+00,3.113737944687205300e-03,1.796801609359054055e+02
2.821307675939471959e+00,3.186396335340274406e-03,1.796764478512031644e+02
2.854009769829238596e+00,3.260751546934041126e-03,1.796726915236763489e+02
2.887090917359235842e+00,3.336843269916444157e-03,1.796688914449019308e+02
2.920555512182746227e+00,3.414712126154261385e-03,1.796650471003101757e+02
2.954407998880380859e+00,3.494399690933183093e-03,1.796611579691039822e+02
2.988652873550383671e+00,3.575948515484245801e-03,1.796572235241777946e+02
3.023294684405777311e+00,3.659402150049516182e-03,1.796532432320347823e+02
3.058338032378432825e+00,3.744805167500287000e-03,1.796492165527026543e+02
3.093787571730137742e+00,3.832203187521348014e-03,1.796451429396484798e+02
3.129648010670751823e+00,3.921642901375263848e-03,1.796410218396917458e+02
3.165924111983522415e+00,4.013172097260957714e-03,1.796368526929165910e+02
3.202620693657651785e+00,4.106839686281247258e-03,1.796326349325818512e+02
3.239742629528197249e+00,4.202695729034387762e-03,1.796283679850303940e+02
3.277294849923383602e+00,4.300791462845031388e-03,1.796240512695966061e+02
3.315282342319425091e+00,4.401179329650450889e-03,1.796196841985123740e+02
3.353710152002930656e+00,4.503913004558269574e-03,1.796152661768117298e+02
3.392583382740993692e+00,4.609047425092360414e-03,1.796107966022336200e+02
3.431907197459044490e+00,4.716638821144025599e-03,1.796062748651233107e+02
3.471686818926561280e+00,4.826744745646012816e-03,1.796017003483320877e+02
3.511927530450729584e+00,4.939424105987393759e-03,1.795970724271151369e+02
3.552634676578141359e+00,5.054737196187775346e-03,1.795923904690280892e+02
