w, module, argument
1.000000000000000000e+02,2.018555060164512138e+00,-2.313722497824216795e+00
1.004620421346813117e+02,2.018728380995894689e+00,-2.324618418842655299e+00
1.009262190987047347e+02,2.018903334539198902e+00,-2.335567580829388756e+00
1.013925407558815266e+02,2.019079936432256250e+00,-2.346570270946803483e+00
1.018610170155975254e+02,2.019258202467488328e+00,-2.357626778276787682e+00
1.023316578330244937e+02,2.019438148593529991e+00,-2.368737393838336480e+00
1.028044732093309790e+02,2.019619790916866719e+00,-2.379902410605329699e+00
1.032794731918951499e+02,2.019803145703485736e+00,-2.391122123524557885e+00
1.037566678745185982e+02,2.019988229380556000e+00,-2.402396829533962386e+00
1.042360673976401131e+02,2.020175058538115298e+00,-2.413726827581080148e+00
1.047176819485520269e+02,2.020363649930790206e+00,-2.425112418641747425e+00
1.052015217616159077e+02,2.020554020479526258e+00,-2.436553905738994885e+00
1.056875971184803973e+02,2.020746187273339878e+00,-2.448051593962202510e+00
1.061759183483000157e+02,2.020940167571096069e+00,-2.459605790486499188e+00
1.066664958279538808e+02,2.021135978803297206e+00,-2.471216804592357263e+00
1.071593399822671131e+02,2.021333638573904690e+00,-2.482884947685492172e+00
1.076544612842315871e+02,2.021533164662170812e+00,-2.494610533316951262e+00
1.081518702552288147e+02,2.021734575024496827e+00,-2.506393877203491272e+00
1.086515774652538369e+02,2.021937887796314559e+00,-2.518235297248207605e+00
1.091535935331391016e+02,2.022143121293987988e+00,-2.530135113561387428e+00
1.096579291267809850e+02,2.022350294016735273e+00,-2.542093648481678958e+00
1.101645949633656869e+02,2.022559424648576520e+00,-2.554111226597477025e+00
1.106736018095973435e+02,2.022770532060303772e+00,-2.566188174768605279e+00
1.111849604819271065e+02,2.022983635311472739e+00,-2.578324822148274187e+00
1.116986818467822644e+02,2.023198753652422077e+00,-2.590521500205295702e+00
1.122147768207980221e+02,2.023415906526309538e+00,-2.602778542746607915e+00
1.127332563710487108e+02,2.023635113571178312e+00,-2.615096285940059495e+00
1.132541315152811450e+02,2.023856394622047805e+00,-2.627475068337500108e+00
1.137774133221491439e+02,2.024079769713025723e+00,-2.639915230898175480e+00
1.143031129114478688e+02,2.024305259079445918e+00,-2.652417117012387138e+00
1.148312414543511153e+02,2.024532883160036878e+00,-2.664981072525502981e+00
1.153618101736478536e+02,2.024762662599109309e+00,-2.677607445762233418e+00
1.158948303439810559e+02,2.024994618248774358e+00,-2.690296587551244567e+00
1.164303132920876749e+02,2.025228771171186271e+00,-2.703048851250096085e+00
1.169682703970384665e+02,2.025465142640813898e+00,-2.715864592770469876e+00
1.175087130904807537e+02,2.025703754146739310e+00,-2.728744170603768726e+00
1.180516528568805512e+02,2.025944627394979936e+00,-2.741687945847009367e+00
1.185971012337669350e+02,2.026187784310847562e+00,-2.754696282229076143e+00
1.191450698119775922e+02,2.026433247041325547e+00,-2.767769546137320180e+00
1.196955702359042846e+02,2.026681037957484666e+00,-2.780908106644484956e+00
1.202486142037412264e+02,2.026931179656920712e+00,-2.794112335536010683e+00
1.208042134677328932e+02,2.027183694966227190e+00,-2.807382607337679303e+00
1.213623798344240470e+02,2.027438606943492427e+00,-2.820719299343630748e+00
1.219231251649110703e+02,2.027695938880835325e+00,-2.834122791644766437e+00
1.224864613750930715e+02,2.027955714306963753e+00,-2.847593467157485403e+00
1.230524004359261596e+02,2.028217956989769366e+00,-2.861131711652855625e+00
1.236209543736769092e+02,2.028482690938955724e+00,-2.874737913786132193e+00
1.241921352701783405e+02,2.028749940408692165e+00,-2.888412465126684925e+00
1.247659552630869797e+02,2.029019729900308100e+00,-2.902155760188338096e+00
1.253424265461399472e+02,2.029292084165014387e+00,-2.915968196460082318e+00
1.259215613694150875e+02,2.029567028206662460e+00,-2.929850174437248267e+00
1.265033720395903742e+02,2.029844587284537205e+00,-2.943802097653045458e+00
1.270878709202058161e+02,2.030124786916184032e+00,-2.957824372710566418e+00
1.276750704319265708e+02,2.030407652880267921e+00,-2.971917409315212755e+00
1.282649830528060022e+02,2.030693211219475547e+00,-2.986081620307544426e+00
1.288576213185517929e+02,2.030981488243447153e+00,-3.000317421696605091e+00
1.294529978227916160e+02,2.031272510531747955e+00,-3.014625232693668888e+00
1.300511252173408536e+02,2.031566304936877732e+00,-3.029005475746467724e+00
1.306520162124721196e+02,2.031862898587314614e+00,-3.043458576573890628e+00
1.312556835771842714e+02,2.032162318890602393e+00,-3.057984964201128530e+00
1.318621401394748602e+02,2.032464593536473352e+00,-3.072585070995343060e+00
1.324713987866117577e+02,2.032769750500011519e+00,-3.087259332701786985e+00
1.330834724654074819e+02,2.033077818044856322e+00,-3.102008188480447792e+00
1.336983741824946605e+02,2.033388824726447108e+00,-3.116832080943198857e+00
1.343161170046015229e+02,2.033702799395308070e+00,-3.131731456191432450e+00
1.349367140588306597e+02,2.034019771200377136e+00,-3.146706763854274058e+00
1.355601785329369022e+02,2.034339769592374392e+00,-3.161758457127251010e+00
1.361865236756081288e+02,2.034662824327218900e+00,-3.176886992811573496e+00
1.368157627967471797e+02,2.034988965469481936e+00,-3.192092831353929405e+00
1.374479092677536585e+02,2.035318223395892190e+00,-3.207376436886818727e+00
1.380829765218092291e+02,2.035650628798881367e+00,-3.222738277269507901e+00
1.387209780541620887e+02,2.035986212690177322e+00,-3.238178824129497979e+00
1.393619274224141975e+02,2.036325006404444249e+00,-3.253698552904614072e+00
1.400058382468097591e+02,2.036667041602969075e+00,-3.269297942885702746e+00
1.406527242105236439e+02,2.037012350277396688e+00,-3.284977477259878764e+00
1.413025990599533657e+02,2.037360964753512693e+00,-3.300737643154452172e+00
1.419554766050101478e+02,2.037712917695080339e+00,-3.316578931681423814e+00
1.426113707194128324e+02,2.038068242107716088e+00,-3.332501837982646098e+00
1.432702953409830968e+02,2.038426971342832683e+00,-3.348506861275635682e+00
1.439322644719406412e+02,2.038789139101620407e+00,-3.364594504899996785e+00
1.445972921792019577e+02,2.039154779439084741e+00,-3.380765276364578575e+00
1.452653925946781328e+02,2.039523926768143980e+00,-3.397019687395240961e+00
1.459365799155756065e+02,2.039896615863768581e+00,-3.413358253983350910e+00
1.466108684046984365e+02,2.040272881867187138e+00,-3.429781496434990196e+00
1.472882723907501656e+02,2.040652760290143419e+00,-3.446289939420816406e+00
1.479688062686396393e+02,2.041036287019208473e+00,-3.462884112026722860e+00
1.486524844997857144e+02,2.041423498320151797e+00,-3.479564547805166441e+00
1.493393216124251808e+02,2.041814430842374239e+00,-3.496331784827289457e+00
1.500293322019218181e+02,2.042209121623398183e+00,-3.513186365735794681e+00
1.507225309310757098e+02,2.042607608093410576e+00,-3.530128837798566455e+00
1.514189325304351996e+02,2.043009928079885018e+00,-3.547159752963108925e+00
1.521185517986104969e+02,2.043416119812246912e+00,-3.564279667911787630e+00
1.528214036025869405e+02,2.043826221926614117e+00,-3.581489144117840695e+00
1.535275028780422701e+02,2.044240273470598446e+00,-3.598788747902280427e+00
1.542368646296629038e+02,2.044658313908170655e+00,-3.616179050491580949e+00
1.549495039314631697e+02,2.045080383124595613e+00,-3.633660628076252674e+00
1.556654359271062162e+02,2.045506521431431413e+00,-3.651234061870288539e+00
1.563846758302246087e+02,2.045936769571599090e+00,-3.668899938171464203e+00
1.571072389247450474e+02,2.046371168724519851e+00,-3.686658848422597945e+00
1.578331405652118065e+02,2.046809760511326015e+00,-3.704511389273650313e+00
1.585623961771137260e+02,2.047252587000141677e+00,-3.722458162644813662e+00
1.592950212572122837e+02,2.047699690711437093e+00,-3.740499775790552039e+00
1.600310313738700074e+02,2.048151114623455893e+00,-3.758636841364543013e+00
1.607704421673823560e+02,2.048606902177722233e+00,-3.776869977485685315e+00
1.615132693503091161e+02,2.049067097284615446e+00,-3.795199807805035075e+00
1.622595287078087267e+02,2.049531744329034844e+00,-3.813626961573790997e+00
