w, module, argument
1.000000000000000000e+01,9.365447359589483156e+00,1.579993016494594258e+02
1.006938631476027624e+01,9.357438724878411662e+00,1.578585369977508890e+02
1.013925407558815373e+01,9.349339344949253672e+00,1.577170197741843651e+02
1.020960662306046451e+01,9.341148447145178224e+00,1.575747486688082972e+02
1.028044732093309221e+01,9.332865258512647699e+00,1.574317224211357029e+02
1.035177955630176250e+01,9.324489005978739087e+00,1.572879398210687896e+02
1.042360673976401664e+01,9.316018916532533112e+00,1.571433997098262694e+02
1.049593230558227752e+01,9.307454217410658259e+00,1.569981009808735450e+02
1.056875971184804008e+01,9.298794136286975487e+00,1.568520425808551124e+02
1.064209244064724125e+01,9.290037901466410730e+00,1.567052235105291231e+02
1.071593399822671167e+01,9.281184742082958294e+00,1.565576428257034536e+02
1.079028791516184071e+01,9.272233888301851579e+00,1.564092996381731666e+02
1.086515774652538369e+01,9.263184571525870936e+00,1.562601931166585416e+02
1.094054707205742361e+01,9.254036024605859723e+00,1.561103224877441278e+02
1.101645949633656407e+01,9.244787482055379257e+00,1.559596870368172006e+02
1.109289864895222699e+01,9.235438180269516906e+00,1.558082861090064455e+02
1.116986818467823106e+01,9.225987357747833073e+00,1.556561191101195334e+02
1.124737178364751955e+01,9.216434255321445335e+00,1.555031855075794738e+02
1.132541315152811556e+01,9.206778116384217725e+00,1.553494848313595185e+02
1.140399601970032428e+01,9.197018187128032096e+00,1.551950166749156494e+02
1.148312414543511117e+01,9.187153716782134438e+00,1.550397806961165088e+02
1.156280131207375916e+01,9.177183957856504648e+00,1.548837766181705433e+02
1.164303132920876749e+01,9.167108166389226653e+00,1.547270042305490279e+02
1.172381803286598512e+01,9.156925602197842906e+00,1.545694633899052803e+02
1.180516528568804979e+01,9.146635529134599096e+00,1.544111540209891871e+02
1.188707697711903322e+01,9.136237215345595075e+00,1.542520761175567543e+02
1.196955702359043450e+01,9.125729933533758498e+00,1.540922297432735775e+02
1.205260936870842592e+01,9.115112961225596777e+00,1.539316150326123989e+02
1.213623798344240612e+01,9.104385581041642084e+00,1.537702321917435029e+02
1.222044686631488020e+01,9.093547080970610708e+00,1.536080814994183754e+02
1.230524004359261525e+01,9.082596754647081383e+00,1.534451633078445809e+02
1.239062156947916193e+01,9.071533901632752972e+00,1.532814780435526529e+02
1.247659552630869761e+01,9.060357827701110978e+00,1.531170262082538045e+02
1.256316602474120891e+01,9.049067845125454923e+00,1.529518083796875203e+02
1.265033720395903138e+01,9.037663272970224426e+00,1.527858252124592582e+02
1.273811323186478539e+01,9.026143437385483637e+00,1.526190774388667535e+02
1.282649830528060519e+01,9.014507671904512520e+00,1.524515658697150400e+02
1.291549665014884063e+01,9.002755317744394858e+00,1.522832913951187948e+02
1.300511252173409282e+01,8.990885724109457300e+00,1.521142549852922627e+02
1.309535020482667100e+01,8.978898248497525714e+00,1.519444576913252547e+02
1.318621401394748460e+01,8.966792257008796341e+00,1.517739006459450763e+02
1.327770829355429782e+01,8.954567124657277333e+00,1.516025850642633657e+02
1.336983741824946570e+01,8.942222235684619491e+00,1.514305122445077529e+02
1.346260579298910365e+01,8.929756983876243837e+00,1.512576835687368657e+02
1.355601785329368170e+01,8.917170772879588370e+00,1.510841005035386502e+02
1.365007806546013747e+01,8.904463016524385210e+00,1.509097646007110143e+02
1.374479092677537295e+01,8.891633139144770936e+00,1.507346774979240536e+02
1.384016096573131627e+01,8.878680575903098671e+00,1.505588409193636323e+02
1.393619274224142757e+01,8.865604773115325798e+00,1.503822566763546718e+02
1.403289084785872376e+01,8.852405188577723294e+00,1.502049266679647985e+02
1.413025990599533621e+01,8.839081291894869352e+00,1.500268528815860236e+02
1.422830457214352684e+01,8.825632564808644887e+00,1.498480373934955878e+02
1.432702953409831004e+01,8.812058501528087007e+00,1.496684823693934732e+02
1.442643951218158094e+01,8.798358609059960145e+00,1.494881900649172337e+02
1.452653925946781222e+01,8.784532407539781929e+00,1.493071628261325259e+02
1.462733356201129808e+01,8.770579430563177681e+00,1.491254030899996792e+02
1.472882723907502545e+01,8.756499225517314855e+00,1.489429133848141191e+02
1.483102514336104427e+01,8.742291353912273522e+00,1.487596963306215798e+02
1.493393216124252554e+01,8.727955391712066913e+00,1.485757546396061457e+02
1.503755321299738412e+01,8.713490929665182350e+00,1.483910911164510935e+02
1.514189325304351996e+01,8.698897573634370772e+00,1.482057086586718526e+02
1.524695727017573788e+01,8.684174944925480588e+00,1.480196102569199752e+02
1.535275028780422701e+01,8.669322680615140442e+00,1.478327989952578321e+02
1.545927736419477760e+01,8.654340433876999583e+00,1.476452780514034941e+02
1.556654359271061949e+01,8.639227874306362409e+00,1.474570506969445773e+02
1.567455410205595001e+01,8.623984688242932961e+00,1.472681202975210226e+02
1.578331405652117247e+01,8.608610579091459769e+00,1.470784903129757879e+02
1.589282865622977958e+01,8.593105267640009259e+00,1.468881642974729687e+02
1.600310313738700785e+01,8.577468492375658116e+00,1.466971458995830346e+02
1.611414277253019733e+01,8.561700009797338140e+00,1.465054388623337047e+02
1.622595287078087267e+01,8.545799594725549397e+00,1.463130470232270852e+02
1.633853877809861288e+01,8.529767040608760453e+00,1.461199743142215937e+02
1.645190587753662470e+01,8.513602159826177740e+00,1.459262247616783554e+02
1.656605958949914381e+01,8.497304783986653121e+00,1.457318024862717891e+02
1.668100537200059108e+01,8.480874764223456097e+00,1.455367117028635846e+02
1.679674872092653004e+01,8.464311971484669073e+00,1.453409567203395909e+02
1.691329517029647889e+01,8.447616296818917903e+00,1.451445419414094715e+02
1.703065029252844198e+01,8.430787651656208581e+00,1.449474718623680189e+02
1.714881969870539891e+01,8.413825968083548545e+00,1.447497510728185262e+02
1.726780903884355922e+01,8.396731199115173183e+00,1.445513842553568793e+02
1.738762400216250370e+01,8.379503318957009839e+00,1.443523761852168832e+02
1.750827031735724404e+01,8.362142323265212340e+00,1.441527317298755975e+02
1.762975375287205893e+01,8.344648229398423211e+00,1.439524558486192234e+02
1.775208011717635159e+01,8.327021076663571719e+00,1.437515535920682623e+02
1.787525525904235479e+01,8.309260926554863147e+00,1.435500301016624007e+02
1.799928506782476489e+01,8.291367862985792314e+00,1.433478906091045815e+02
1.812417547374236548e+01,8.273341992513824295e+00,1.431451404357638069e+02
1.824993244816152327e+01,8.255183444557584238e+00,1.429417849920369292e+02
1.837656200388171612e+01,8.236892371606208130e+00,1.427378297766688320e+02
1.850407019542302223e+01,8.218468949420683956e+00,1.425332803760308309e+02
1.863246311931559873e+01,8.199913377226879518e+00,1.423281424633577501e+02
1.876174691439120323e+01,8.181225877900022425e+00,1.421224217979425077e+02
1.889192776207666213e+01,8.162406698140429739e+00,1.419161242242894900e+02
1.902301188668944931e+01,8.143456108640194202e+00,1.417092556712252645e+02
1.915500555573527919e+01,8.124374404240626291e+00,1.415018221509679961e+02
1.928791508020777812e+01,8.105161904080238955e+00,1.412938297581541462e+02
1.942174681489025545e+01,8.085818951733005022e+00,1.410852846688242153e+02
