w, module, argument
2.189476762856621406e+00,2.188427672539870472e-01,8.749144524273397394e+01
2.209756114795902171e+00,2.208677612639371457e-01,8.746821805530487381e+01
2.230223297965937768e+00,2.229114559575982313e-01,8.744477594420617095e+01
2.250880052095461270e+00,2.249740229979921846e-01,8.742111692468658646e+01
2.271728133026905461e+00,2.270556355948323835e-01,8.739723899377739258e+01
2.292769312865649223e+00,2.291564685176392113e-01,8.737314013012829150e+01
2.314005380130653045e+00,2.312766981089444118e-01,8.734881829384177365e+01
2.335438139906478749e+00,2.334165022975806802e-01,8.732427142630645278e+01
2.357069413996727647e+00,2.355760606120612666e-01,8.729949745002861050e+01
2.378901041078893552e+00,2.377555541940452599e-01,8.727449426846257552e+01
2.400934876860652434e+00,2.399551658118901920e-01,8.724925976583952547e+01
2.423172794237599348e+00,2.421750798742920152e-01,8.722379180699491030e+01
2.445616683452445983e+00,2.444154824440107898e-01,8.719808823719453983e+01
2.468268452255692136e+00,2.466765612516833572e-01,8.717214688195888073e+01
2.491130026067788883e+00,2.489585057097214449e-01,8.714596554688633034e+01
2.514203348142797445e+00,2.512615069262953971e-01,8.711954201747469995e+01
2.537490379733570389e+00,2.535857577194036705e-01,8.709287405894131950e+01
2.560993100258458721e+00,2.559314526310253468e-01,8.706595941604173561e+01
2.584713507469563520e+00,2.582987879413592980e-01,8.703879581288664724e+01
2.608653617622548104e+00,2.606879616831442315e-01,8.701138095275771889e+01
2.632815465648020936e+00,2.630991736560646665e-01,8.698371251792151782e+01
2.657201105324505264e+00,2.655326254412370690e-01,8.695578816944211553e+01
2.681812609453015028e+00,2.679885204157793632e-01,8.692760554699215447e+01
2.706652070033241486e+00,2.704670637674610467e-01,8.689916226866229465e+01
2.731721598441376742e+00,2.729684625094334072e-01,8.687045593076913974e+01
2.757023325609583519e+00,2.754929254950405637e-01,8.684148410766159998e+01
2.782559402207124499e+00,2.780406634327079463e-01,8.681224435152572028e+01
2.808331998823172082e+00,2.806118889009095452e-01,8.678273419218788831e+01
2.834343306151309250e+00,2.832068163632120439e-01,8.675295113691649362e+01
2.860595535175742388e+00,2.858256621833946132e-01,8.672289267022193826e+01
2.887090917359235842e+00,2.884686446406442561e-01,8.669255625365507001e+01
2.913831704832787306e+00,2.911359839448244835e-01,8.666193932560410929e+01
2.940820170587063132e+00,2.938279022518169303e-01,8.663103930108974282e+01
2.968058608665602449e+00,2.965446236789342493e-01,8.659985357155879626e+01
2.995549334359813631e+00,2.992863743204035587e-01,8.656837950467620146e+01
3.023294684405777311e+00,3.020533822629181686e-01,8.653661444411520165e+01
3.051297017182869720e+00,3.048458776012573646e-01,8.650455570934623495e+01
3.079558712914225893e+00,3.076640924539713051e-01,8.647220059542372894e+01
3.108082173869064047e+00,3.105082609791310344e-01,8.643954637277161623e+01
