w, module, argument
1.000000000000000000e+01,9.365447359589483545e-02,1.579993016494593974e+02
1.006938631476027624e+01,9.487744872828984821e-02,1.578585369977508890e+02
1.013925407558815373e+01,9.611539062127799626e-02,1.577170197741843651e+02
1.020960662306046451e+01,9.736845791079860868e-02,1.575747486688082972e+02
1.028044732093309221e+01,9.863681034027471650e-02,1.574317224211357029e+02
1.035177955630176250e+01,9.992060875525876629e-02,1.572879398210687896e+02
1.042360673976401664e+01,1.012200150977404650e-01,1.571433997098262694e+02
1.049593230558227752e+01,1.025351924001114967e-01,1.569981009808735450e+02
1.056875971184804008e+01,1.038663047787843213e-01,1.568520425808551124e+02
1.064209244064724125e+01,1.052135174274623358e-01,1.567052235105291231e+02
1.071593399822671167e+01,1.065769966100567762e-01,1.565576428257034536e+02
1.079028791516184071e+01,1.079569096532496664e-01,1.564092996381731666e+02
1.086515774652538369e+01,1.093534249386983875e-01,1.562601931166585416e+02
1.094054707205742361e+01,1.107667118948799101e-01,1.561103224877441278e+02
1.101645949633656407e+01,1.121969409885733848e-01,1.559596870368172006e+02
1.109289864895222699e+01,1.136442837159765545e-01,1.558082861090064455e+02
1.116986818467823106e+01,1.151089125934571938e-01,1.556561191101195334e+02
1.124737178364751955e+01,1.165910011479353858e-01,1.555031855075794738e+02
1.132541315152811556e+01,1.180907239068966774e-01,1.553494848313595185e+02
1.140399601970032428e+01,1.196082563880348643e-01,1.551950166749156494e+02
1.148312414543511117e+01,1.211437750885223097e-01,1.550397806961165088e+02
1.156280131207375916e+01,1.226974574739086027e-01,1.548837766181705433e+02
1.164303132920876749e+01,1.242694819666467221e-01,1.547270042305490279e+02
1.172381803286598512e+01,1.258600279342459716e-01,1.545694633899052803e+02
1.180516528568804979e+01,1.274692756770531288e-01,1.544111540209891871e+02
1.188707697711903322e+01,1.290974064156603374e-01,1.542520761175567543e+02
1.196955702359043450e+01,1.307446022779431838e-01,1.540922297432735775e+02
1.205260936870842592e+01,1.324110462857275017e-01,1.539316150326123989e+02
1.213623798344240612e+01,1.340969223410879985e-01,1.537702321917435029e+02
1.222044686631488020e+01,1.358024152122800088e-01,1.536080814994183754e+02
1.230524004359261525e+01,1.375277105193055960e-01,1.534451633078445809e+02
1.239062156947916193e+01,1.392729947191180262e-01,1.532814780435526529e+02
1.247659552630869761e+01,1.410384550904662526e-01,1.531170262082538045e+02
1.256316602474120891e+01,1.428242797183824631e-01,1.529518083796875203e+02
1.265033720395903138e+01,1.446306574783170762e-01,1.527858252124592582e+02
1.273811323186478539e+01,1.464577780199248780e-01,1.526190774388667535e+02
1.282649830528060519e+01,1.483058317505048240e-01,1.524515658697150400e+02
1.291549665014884063e+01,1.501750098181011406e-01,1.522832913951187663e+02
1.300511252173409282e+01,1.520655040942681946e-01,1.521142549852922627e+02
1.309535020482667100e+01,1.539775071565057385e-01,1.519444576913252547e+02
1.318621401394748460e+01,1.559112122703710246e-01,1.517739006459450763e+02
1.327770829355429782e+01,1.578668133712713972e-01,1.516025850642633657e+02
1.336983741824946570e+01,1.598445050459469663e-01,1.514305122445077529e+02
1.346260579298910365e+01,1.618444825136495235e-01,1.512576835687368657e+02
1.355601785329368170e+01,1.638669416070234752e-01,1.510841005035386502e+02
1.365007806546013747e+01,1.659120787527003371e-01,1.509097646007110143e+02
1.374479092677537295e+01,1.679800909516099283e-01,1.507346774979240536e+02
1.384016096573131627e+01,1.700711757590227802e-01,1.505588409193636323e+02
1.393619274224142757e+01,1.721855312643284786e-01,1.503822566763546718e+02
1.403289084785872376e+01,1.743233560705616525e-01,1.502049266679647985e+02
1.413025990599533621e+01,1.764848492736861008e-01,1.500268528815860236e+02
1.422830457214352684e+01,1.786702104416448833e-01,1.498480373934955878e+02
1.432702953409831004e+01,1.808796395931907552e-01,1.496684823693935016e+02
1.442643951218158094e+01,1.831133371765059636e-01,1.494881900649172337e+02
1.452653925946781222e+01,1.853715040476239806e-01,1.493071628261325259e+02
1.462733356201129808e+01,1.876543414486649686e-01,1.491254030899996792e+02
1.472882723907502545e+01,1.899620509858989392e-01,1.489429133848141191e+02
1.483102514336104427e+01,1.922948346076469861e-01,1.487596963306215798e+02
1.493393216124252554e+01,1.946528945820368284e-01,1.485757546396061457e+02
1.503755321299738412e+01,1.970364334746256829e-01,1.483910911164510935e+02
1.514189325304351996e+01,1.994456541259033711e-01,1.482057086586718810e+02
1.524695727017573788e+01,2.018807596286929240e-01,1.480196102569199752e+02
1.535275028780422701e+01,2.043419533054607051e-01,1.478327989952578321e+02
1.545927736419477760e+01,2.068294386855544231e-01,1.476452780514034941e+02
1.556654359271061949e+01,2.093434194823830807e-01,1.474570506969446058e+02
1.567455410205595001e+01,2.118840995705556784e-01,1.472681202975210226e+02
1.578331405652117247e+01,2.144516829629954102e-01,1.470784903129757595e+02
1.589282865622977958e+01,2.170463737880453103e-01,1.468881642974729687e+02
1.600310313738700785e+01,2.196683762665838646e-01,1.466971458995830346e+02
1.611414277253019733e+01,2.223178946891680718e-01,1.465054388623336479e+02
1.622595287078087267e+01,2.249951333932201369e-01,1.463130470232270852e+02
1.633853877809861288e+01,2.277002967402785849e-01,1.461199743142215937e+02
1.645190587753662470e+01,2.304335890933300046e-01,1.459262247616783554e+02
1.656605958949914381e+01,2.331952147942412401e-01,1.457318024862717891e+02
1.668100537200059108e+01,2.359853781413111529e-01,1.455367117028635846e+02
1.679674872092653004e+01,2.388042833669604403e-01,1.453409567203396193e+02
1.691329517029647889e+01,2.416521346155803551e-01,1.451445419414094715e+02
1.703065029252844198e+01,2.445291359215565064e-01,1.449474718623680189e+02
