w, module, argument
1.000000000000000000e+01,1.967739820199814638e+00,1.696951535312339843e+02
1.006938631476027624e+01,1.967292565160458251e+00,1.696237717111804955e+02
1.013925407558815373e+01,1.966839137663501491e+00,1.695518971644143278e+02
1.020960662306046451e+01,1.966379453326324800e+00,1.694795265278079341e+02
1.028044732093309221e+01,1.965913426635632621e+00,1.694066564161331883e+02
1.035177955630176250e+01,1.965440970932964992e+00,1.693332834219364713e+02
1.042360673976401664e+01,1.964961998400044152e+00,1.692594041154133606e+02
1.049593230558227752e+01,1.964476420043954397e+00,1.691850150442827783e+02
1.056875971184804008e+01,1.963984145682150073e+00,1.691101127336614525e+02
1.064209244064724125e+01,1.963485083927299923e+00,1.690346936859382083e+02
1.071593399822671167e+01,1.962979142171953351e+00,1.689587543806476333e+02
1.079028791516184071e+01,1.962466226573038819e+00,1.688822912743441691e+02
1.086515774652538369e+01,1.961946242036187948e+00,1.688053008004757771e+02
1.094054707205742361e+01,1.961419092199883973e+00,1.687277793692576608e+02
1.101645949633656407e+01,1.960884679419433230e+00,1.686497233675459597e+02
1.109289864895222699e+01,1.960342904750763893e+00,1.685711291587112726e+02
1.116986818467823106e+01,1.959793667934041972e+00,1.684919930825120673e+02
1.124737178364751955e+01,1.959236867377108782e+00,1.684123114549685170e+02
1.132541315152811556e+01,1.958672400138739444e+00,1.683320805682359378e+02
1.140399601970032428e+01,1.958100161911718429e+00,1.682512966904782843e+02
1.148312414543511117e+01,1.957520047005734787e+00,1.681699560657420705e+02
1.156280131207375916e+01,1.956931948330087989e+00,1.680880549138300069e+02
1.164303132920876749e+01,1.956335757376218343e+00,1.680055894301749504e+02
1.172381803286598512e+01,1.955731364200041345e+00,1.679225557857138540e+02
1.180516528568804979e+01,1.955118657404103732e+00,1.678389501267620574e+02
1.188707697711903322e+01,1.954497524119547691e+00,1.677547685748876347e+02
1.196955702359043450e+01,1.953867849987888761e+00,1.676700072267861117e+02
1.205260936870842592e+01,1.953229519142602344e+00,1.675846621541552111e+02
1.213623798344240612e+01,1.952582414190524140e+00,1.674987294035700245e+02
1.222044686631488020e+01,1.951926416193053404e+00,1.674122049963585823e+02
1.230524004359261525e+01,1.951261404647173681e+00,1.673250849284775086e+02
1.239062156947916193e+01,1.950587257466273039e+00,1.672373651703885002e+02
1.247659552630869761e+01,1.949903850960777119e+00,1.671490416669346359e+02
1.256316602474120891e+01,1.949211059818586333e+00,1.670601103372176226e+02
1.265033720395903138e+01,1.948508757085319454e+00,1.669705670744752979e+02
1.273811323186478539e+01,1.947796814144365563e+00,1.668804077459595590e+02
1.282649830528060519e+01,1.947075100696738392e+00,1.667896281928153428e+02
1.291549665014884063e+01,1.946343484740737262e+00,1.666982242299594645e+02
1.300511252173409282e+01,1.945601832551411503e+00,1.666061916459607346e+02
1.309535020482667100e+01,1.944850008659833707e+00,1.665135262029205307e+02
1.318621401394748460e+01,1.944087875832170464e+00,1.664202236363539100e+02
1.327770829355429782e+01,1.943315295048564595e+00,1.663262796550717724e+02
1.336983741824946570e+01,1.942532125481817085e+00,1.662316899410638769e+02
1.346260579298910365e+01,1.941738224475875851e+00,1.661364501493823127e+02
1.355601785329368170e+01,1.940933447524130218e+00,1.660405559080263629e+02
1.365007806546013747e+01,1.940117648247505100e+00,1.659440028178281636e+02
1.374479092677537295e+01,1.939290678372368903e+00,1.658467864523391881e+02
1.384016096573131627e+01,1.938452387708239577e+00,1.657489023577180376e+02
1.393619274224142757e+01,1.937602624125301043e+00,1.656503460526195113e+02
1.403289084785872376e+01,1.936741233531727113e+00,1.655511130280841883e+02
1.413025990599533621e+01,1.935868059850809120e+00,1.654511987474301975e+02
1.422830457214352684e+01,1.934982944997896581e+00,1.653505986461454427e+02
1.432702953409831004e+01,1.934085728857145581e+00,1.652493081317817598e+02
1.442643951218158094e+01,1.933176249258077295e+00,1.651473225838501548e+02
1.452653925946781222e+01,1.932254341951948451e+00,1.650446373537178317e+02
1.462733356201129808e+01,1.931319840587936820e+00,1.649412477645065280e+02
1.472882723907502545e+01,1.930372576689137087e+00,1.648371491109925557e+02
1.483102514336104427e+01,1.929412379628378638e+00,1.647323366595086895e+02
1.493393216124252554e+01,1.928439076603856162e+00,1.646268056478477035e+02
1.503755321299738412e+01,1.927452492614582846e+00,1.645205512851676133e+02
1.514189325304351996e+01,1.926452450435665487e+00,1.644135687518992768e+02
1.524695727017573788e+01,1.925438770593400406e+00,1.643058531996555303e+02
