w, module, argument
1.000000000000000000e+02,9.999489887009640476e-01,-5.787255656077622268e-01
1.004620421346813117e+02,9.999485066270703548e-01,-5.814537340500917084e-01
1.009262190987047347e+02,9.999480199067656283e-01,-5.841952729751902496e-01
1.013925407558815266e+02,9.999475284935608332e-01,-5.869502550582458289e-01
1.018610170155975254e+02,9.999470323404705541e-01,-5.897187534677382770e-01
1.023316578330244937e+02,9.999465314000055560e-01,-5.925008418700551394e-01
1.028044732093309790e+02,9.999460256241679001e-01,-5.952965944341525040e-01
1.032794731918951499e+02,9.999455149644451701e-01,-5.981060858362832189e-01
1.037566678745185982e+02,9.999449993718030338e-01,-6.009293912647813984e-01
1.042360673976401131e+02,9.999444787966803583e-01,-6.037665864249008862e-01
1.047176819485520269e+02,9.999439531889816601e-01,-6.066177475437249944e-01
1.052015217616159077e+02,9.999434224980719987e-01,-6.094829513751267580e-01
1.056875971184803973e+02,9.999428866727689824e-01,-6.123622752047971352e-01
1.061759183483000157e+02,9.999423456613375505e-01,-6.152557968553397094e-01
1.066664958279538808e+02,9.999417994114825348e-01,-6.181635946914192381e-01
1.071593399822671131e+02,9.999412478703425533e-01,-6.210857476249876941e-01
1.076544612842315871e+02,9.999406909844816838e-01,-6.240223351205660407e-01
1.081518702552288147e+02,9.999401286998843563e-01,-6.269734372005992817e-01
1.086515774652538369e+02,9.999395609619469161e-01,-6.299391344508794566e-01
1.091535935331391016e+02,9.999389877154711836e-01,-6.329195080260330286e-01
1.096579291267809850e+02,9.999384089046572388e-01,-6.359146396550853231e-01
1.101645949633656869e+02,9.999378244730948717e-01,-6.389246116470896908e-01
1.106736018095973435e+02,9.999372343637582539e-01,-6.419495068968332774e-01
1.111849604819271065e+02,9.999366385189960571e-01,-6.449894088906165113e-01
1.116986818467822644e+02,9.999360368805256805e-01,-6.480444017121023137e-01
1.122147768207980221e+02,9.999354293894240353e-01,-6.511145700482491305e-01
1.127332563710487108e+02,9.999348159861203289e-01,-6.541999991953115767e-01
1.132541315152811450e+02,9.999341966103879598e-01,-6.573007750649249026e-01
1.137774133221491439e+02,9.999335712013370792e-01,-6.604169841902716165e-01
1.143031129114478688e+02,9.999329396974043771e-01,-6.635487137323168305e-01
1.148312414543511153e+02,9.999323020363467540e-01,-6.666960514861418607e-01
1.153618101736478536e+02,9.999316581552317729e-01,-6.698590858873438858e-01
1.158948303439810559e+02,9.999310079904297766e-01,-6.730379060185324169e-01
1.164303132920876749e+02,9.999303514776036739e-01,-6.762326016159073694e-01
1.169682703970384665e+02,9.999296885517020561e-01,-6.794432630759194014e-01
1.175087130904807537e+02,9.999290191469488720e-01,-6.826699814620277307e-01
1.180516528568805512e+02,9.999283431968343239e-01,-6.859128485115381091e-01
1.185971012337669350e+02,9.999276606341065410e-01,-6.891719566425368315e-01
1.191450698119775922e+02,9.999269713907610324e-01,-6.924473989609202240e-01
1.196955702359042846e+02,9.999262753980316942e-01,-6.957392692675082868e-01
1.202486142037412264e+02,9.999255725863817057e-01,-6.990476620652646966e-01
1.208042134677328932e+02,9.999248628854922050e-01,-7.023726725666058490e-01
1.213623798344240470e+02,9.999241462242538514e-01,-7.057143967008094876e-01
1.219231251649110703e+02,9.999234225307555013e-01,-7.090729311215308028e-01
1.224864613750930715e+02,9.999226917322754371e-01,-7.124483732144062387e-01
1.230524004359261596e+02,9.999219537552692660e-01,-7.158408211047746494e-01
1.236209543736769092e+02,9.999212085253600391e-01,-7.192503736654920488e-01
1.241921352701783405e+02,9.999204559673281478e-01,-7.226771305248590460e-01
