w, module, argument
1.000000000000000000e+02,1.252739447997552359e-02,8.856431610265826748e+01
1.006938631476027126e+02,1.261470230213364470e-02,8.855430819956617938e+01
1.013925407558815266e+02,1.270262400819979071e-02,8.854422988373109149e+01
1.020960662306046487e+02,1.279116402791899941e-02,8.853408064612251849e+01
1.028044732093309790e+02,1.288032682536626068e-02,8.852385997374570081e+01
1.035177955630176285e+02,1.297011689926082928e-02,8.851356734960488382e+01
1.042360673976401131e+02,1.306053878328456395e-02,8.850320225266618479e+01
1.049593230558227646e+02,1.315159704640398233e-02,8.849276415781992000e+01
1.056875971184803973e+02,1.324329629319625536e-02,8.848225253584270433e+01
1.064209244064724658e+02,1.333564116417936332e-02,8.847166685335868408e+01
1.071593399822671131e+02,1.342863633614606658e-02,8.846100657280069868e+01
1.079028791516183645e+02,1.352228652250225295e-02,8.845027115237073190e+01
1.086515774652538369e+02,1.361659647360933222e-02,8.843946004599982302e+01
1.094054707205742432e+02,1.371157097713090502e-02,8.842857270330759434e+01
1.101645949633656869e+02,1.380721485838388822e-02,8.841760856956128123e+01
1.109289864895222735e+02,1.390353298069389038e-02,8.840656708563409438e+01
1.116986818467822644e+02,1.400053024575522061e-02,8.839544768796315566e+01
1.124737178364751884e+02,1.409821159399537484e-02,8.838424980850686552e+01
1.132541315152811450e+02,1.419658200494413984e-02,8.837297287470175888e+01
1.140399601970033103e+02,1.429564649760752329e-02,8.836161630941869305e+01
1.148312414543511153e+02,1.439541013084630339e-02,8.835017953091863774e+01
1.156280131207375348e+02,1.449587800375967683e-02,8.833866195280766931e+01
1.164303132920876749e+02,1.459705525607367556e-02,8.832706298399163813e+01
1.172381803286598512e+02,1.469894706853467486e-02,8.831538202862988385e+01
1.180516528568805512e+02,1.480155866330813870e-02,8.830361848608879427e+01
1.188707697711903251e+02,1.490489530438238869e-02,8.829177175089432694e+01
1.196955702359042846e+02,1.500896229797790173e-02,8.827984121268403328e+01
1.205260936870842556e+02,1.511376499296183777e-02,8.826782625615871325e+01
1.213623798344240470e+02,1.521930878126808231e-02,8.825572626103289053e+01
1.222044686631488730e+02,1.532559909832300823e-02,8.824354060198507455e+01
1.230524004359261596e+02,1.543264142347671418e-02,8.823126864860724083e+01
1.239062156947915696e+02,1.554044128044026855e-02,8.821890976535334516e+01
1.247659552630869797e+02,1.564900423772867810e-02,8.820646331148755337e+01
1.256316602474120145e+02,1.575833590910985169e-02,8.819392864103149066e+01
1.265033720395903742e+02,1.586844195405982122e-02,8.818130510271082301e+01
1.273811323186478432e+02,1.597932807822393525e-02,8.816859203990109961e+01
1.282649830528060022e+02,1.609100003388456296e-02,8.815578879057288475e+01
