w, module, argument
1.000000000000000000e+01,7.035445979201051969e+00,1.347120839334428979e+02
1.006938631476027624e+01,7.010335198204311169e+00,1.345099823651821680e+02
1.013925407558815373e+01,6.985133160584294565e+00,1.343078485031389278e+02
1.020960662306046451e+01,6.959841300998984792e+00,1.341056916250996096e+02
1.028044732093309221e+01,6.934461071042408165e+00,1.339035210063092904e+02
1.035177955630176250e+01,6.908993938808723811e+00,1.337013459171990633e+02
1.042360673976401664e+01,6.883441388447928411e+00,1.334991756211159100e+02
1.049593230558227752e+01,6.857804919713475833e+00,1.332970193720549901e+02
1.056875971184804008e+01,6.832086047502177628e+00,1.330948864123973863e+02
1.064209244064724125e+01,6.806286301386617055e+00,1.328927859706530228e+02
1.071593399822671167e+01,6.780407225140497651e+00,1.326907272592113998e+02
1.079028791516184071e+01,6.754450376257183919e+00,1.324887194721002572e+02
1.086515774652538369e+01,6.728417325461794718e+00,1.322867717827544709e+02
1.094054707205742361e+01,6.702309656217238398e+00,1.320848933417957483e+02
1.101645949633656407e+01,6.676128964224433915e+00,1.318830932748247164e+02
1.109289864895222699e+01,6.649876856917216195e+00,1.316813806802265674e+02
1.116986818467823106e+01,6.623554952952130037e+00,1.314797646269914821e+02
1.124737178364751955e+01,6.597164881693598382e+00,1.312782541525510567e+02
1.132541315152811556e+01,6.570708282694763369e+00,1.310768582606320649e+02
1.140399601970032428e+01,6.544186805174366128e+00,1.308755859191284117e+02
1.148312414543511117e+01,6.517602107490092500e+00,1.306744460579928386e+02
1.156280131207375916e+01,6.490955856608684904e+00,1.304734475671491793e+02
1.164303132920876749e+01,6.464249727573238680e+00,1.302725992944266977e+02
1.172381803286598512e+01,6.437485402968054160e+00,1.300719100435170219e+02
1.180516528568804979e+01,6.410664572381383763e+00,1.298713885719551797e+02
1.188707697711903322e+01,6.383788931866512861e+00,1.296710435891258726e+02
1.196955702359043450e+01,6.356860183401492392e+00,1.294708837542956417e+02
1.205260936870842592e+01,6.329880034347905138e+00,1.292709176746719777e+02
1.213623798344240612e+01,6.302850196909086655e+00,1.290711539034908526e+02
1.222044686631488020e+01,6.275772387588088641e+00,1.288716009381327865e+02
1.230524004359261525e+01,6.248648326645849238e+00,1.286722672182690133e+02
1.239062156947916193e+01,6.221479737559843848e+00,1.284731611240385121e+02
1.247659552630869761e+01,6.194268346483657872e+00,1.282742909742563882e+02
1.256316602474120891e+01,6.167015881707779812e+00,1.280756650246548531e+02
1.265033720395903138e+01,6.139724073122010850e+00,1.278772914661573310e+02
1.273811323186478539e+01,6.112394651679813329e+00,1.276791784231866558e+02
1.282649830528060519e+01,6.085029348864996912e+00,1.274813339520077449e+02
1.291549665014884063e+01,6.057629896160990235e+00,1.272837660391058421e+02
1.300511252173409282e+01,6.030198024523140354e+00,1.270864825996006431e+02
1.309535020482667100e+01,6.002735463854297571e+00,1.268894914756971559e+02
1.318621401394748460e+01,5.975243942484032900e+00,1.266928004351736519e+02
1.327770829355429782e+01,5.947725186651822149e+00,1.264964171699075024e+02
1.336983741824946570e+01,5.920180919994487034e+00,1.263003492944391724e+02
1.346260579298910365e+01,5.892612863038191762e+00,1.261046043445751650e+02
1.355601785329368170e+01,5.865022732695333474e+00,1.259091897760299474e+02
1.365007806546013747e+01,5.837412241766554821e+00,1.257141129631075529e+02
1.374479092677537295e+01,5.809783098448225047e+00,1.255193811974231579e+02
1.384016096573131627e+01,5.782137005845607192e+00,1.253250016866650327e+02
1.393619274224142757e+01,5.754475661492026717e+00,1.251309815533969356e+02
1.403289084785872376e+01,5.726800756874252052e+00,1.249373278339015769e+02
1.413025990599533621e+01,5.699113976964362394e+00,1.247440474770649104e+02
1.422830457214352684e+01,5.671416999758360333e+00,1.245511473433020910e+02
1.432702953409831004e+01,5.643711495821711388e+00,1.243586342035245593e+02
1.442643951218158094e+01,5.615999127842068006e+00,1.241665147381488055e+02
1.452653925946781222e+01,5.588281550189389435e+00,1.239747955361468144e+02
1.462733356201129808e+01,5.560560408483638639e+00,1.237834830941384894e+02
1.472882723907502545e+01,5.532837339170268542e+00,1.235925838155250887e+02
1.483102514336104427e+01,5.505113969103688554e+00,1.234021040096654929e+02
1.493393216124252554e+01,5.477391915138860590e+00,1.232120498910932156e+02
1.503755321299738412e+01,5.449672783731204007e+00,1.230224275787755488e+02
1.514189325304351996e+01,5.421958170544967537e+00,1.228332430954142609e+02
1.524695727017573788e+01,5.394249660070208563e+00,1.226445023667873784e+02
1.535275028780422701e+01,5.366548825248513843e+00,1.224562112211326053e+02
1.545927736419477760e+01,5.338857227107604686e+00,1.222683753885714850e+02
1.556654359271061949e+01,5.311176414404901180e+00,1.220810005005745751e+02
1.567455410205595001e+01,5.283507923280207130e+00,1.218940920894671933e+02
1.578331405652117247e+01,5.255853276917567207e+00,1.217076555879754522e+02
1.589282865622977958e+01,5.228213985216412674e+00,1.215216963288122543e+02
1.600310313738700785e+01,5.200591544472056071e+00,1.213362195443030203e+02
1.611414277253019733e+01,5.172987437065621030e+00,1.211512303660509389e+02
1.622595287078087267e+01,5.145403131163436505e+00,1.209667338246408264e+02
1.633853877809861288e+01,5.117840080425990479e+00,1.207827348493818675e+02
1.645190587753662470e+01,5.090299723726441350e+00,1.205992382680884134e+02
1.656605958949914381e+01,5.062783484878745632e+00,1.204162488068983663e+02
1.668100537200059108e+01,5.035292772375416170e+00,1.202337710901290109e+02
1.679674872092653004e+01,5.007828979134926861e+00,1.200518096401696226e+02
1.691329517029647889e+01,4.980393482258766547e+00,1.198703688774099732e+02
1.703065029252844198e+01,4.952987642798156287e+00,1.196894531202052860e+02
1.714881969870539891e+01,4.925612805530398042e+00,1.195090665848755691e+02
1.726780903884355922e+01,4.898270298744850315e+00,1.193292133857404167e+02
1.738762400216250370e+01,4.870961434038500570e+00,1.191498975351873355e+02
1.750827031735724404e+01,4.843687506121107766e+00,1.189711229437738211e+02
1.762975375287205893e+01,4.816449792629864390e+00,1.187928934203624607e+02
1.775208011717635159e+01,4.789249553953546013e+00,1.186152126722881803e+02
1.787525525904235479e+01,4.762088033066061321e+00,1.184380843055571546e+02
1.799928506782476489e+01,4.734966455369393756e+00,1.182615118250770792e+02
1.812417547374236548e+01,4.707886028545804180e+00,1.180854986349174709e+02
1.824993244816152327e+01,4.680847942419286589e+00,1.179100480386002374e+02
1.837656200388171612e+01,4.653853368826135650e+00,1.177351632394187533e+02
1.850407019542302223e+01,4.626903461494586089e+00,1.175608473407860686e+02
1.863246311931559873e+01,4.599999355933394263e+00,1.173871033466102745e+02
1.876174691439120323e+01,4.573142169329305950e+00,1.172139341616974377e+02
1.889192776207666213e+01,4.546333000453277151e+00,1.170413425921807260e+02
1.902301188668944931e+01,4.519572929575351949e+00,1.168693313459752829e+02
1.915500555573527919e+01,4.492863018388074892e+00,1.166979030332581999e+02
1.928791508020777812e+01,4.466204309938350825e+00,1.165270601669728450e+02
1.942174681489025545e+01,4.439597828567590554e+00,1.163568051633566540e+02
1.955650715865949252e+01,4.413044579860064154e+00,1.161871403424920430e+02
1.969220255479172366e+01,4.386545550599282528e+00,1.160180679288795602e+02
1.982883949127071332e+01,4.360101708732323722e+00,1.158495900520324824e+02
1.996642450109793288e+01,4.333714003341941456e+00,1.156817087470922303e+02
2.010496416260497909e+01,4.307383364626314659e+00,1.155144259554639774e+02
2.024446509976803910e+01,4.281110703886324309e+00,1.153477435254717705e+02
2.038493398252463251e+01,4.254896913520184398e+00,1.151816632130321238e+02
2.052637752709252084e+01,4.228742867025297336e+00,1.150161866823460741e+02
2.066880249629081945e+01,4.202649419007181031e+00,1.148513155066081026e+02
2.081221569986338338e+01,4.176617405195310440e+00,1.146870511687320118e+02
2.095662399480432825e+01,4.150647642465757237e+00,1.145233950620928027e+02
2.110203428568595641e+01,4.124740928870402001e+00,1.143603484912837587e+02
2.124845352498882889e+01,4.098898043672654090e+00,1.141979126728880942e+02
2.139588871343421417e+01,4.073119747389444711e+00,1.140360887362647162e+02
2.154434690031883193e+01,4.047406781839381296e+00,1.138748777243471721e+02
2.169383518385184217e+01,4.021759870196893516e+00,1.137142805944553174e+02
2.184436071149427150e+01,3.996179717052215530e+00,1.135542982191189196e+02
2.199593068030074861e+01,3.970667008477024140e+00,1.133949313869126740e+02
2.214855233726359174e+01,3.945222412095618747e+00,1.132361808033018775e+02
2.230223297965937590e+01,3.919846577161417045e+00,1.130780470914982203e+02
2.245697995539773828e+01,3.894540134638693196e+00,1.129205307933251419e+02
2.261280066337278427e+01,3.869303697289308452e+00,1.127636323700919974e+02
2.276970255381679920e+01,3.844137859764346743e+00,1.126073522034764096e+02
2.292769312865648601e+01,3.819043198700452724e+00,1.124516905964145224e+02
2.308677994187168636e+01,3.794020272820733286e+00,1.122966477739981315e+02
2.324697059985647840e+01,3.769069623040071093e+00,1.121422238843785948e+02
2.340827276178293204e+01,3.744191772574672505e+00,1.119884189996764263e+02
2.357069413996727647e+01,3.719387227055713119e+00,1.118352331168966742e+02
2.373424250023866122e+01,3.694656474646918820e+00,1.116826661588488037e+02
2.389892566231050353e+01,3.669999986165922046e+00,1.115307179750712265e+02
2.406475150015424092e+01,3.645418215209283996e+00,1.113793883427595546e+02
2.423172794237599348e+01,3.620911598280939891e+00,1.112286769676982061e+02
2.439986297259550341e+01,3.596480554924039286e+00,1.110785834851948124e+02
2.456916462982790250e+01,3.572125487855930093e+00,1.109291074610170256e+02
2.473964100886814066e+01,3.547846783106200164e+00,1.107802483923311456e+02
2.491130026067788350e+01,3.523644810157620988e+00,1.106320057086421684e+02
2.508415059277539783e+01,3.499519922089823876e+00,1.104843787727347859e+02
2.525820026962784581e+01,3.475472455725622911e+00,1.103373668816149262e+02
2.543345761304649599e+01,3.451502731779788835e+00,1.101909692674513934e+02
2.560993100258459521e+01,3.427611055010177488e+00,1.100451850985169671e+02
2.578762887593800812e+01,3.403797714371069372e+00,1.099000134801290756e+02
2.596655972934870960e+01,3.380062983168563573e+00,1.097554534555890342e+02
2.614673211801092023e+01,3.356407119217957202e+00,1.096115040071198763e+02
2.632815465648021203e+01,3.332830365002907413e+00,1.094681640568023511e+02
2.651083601908538867e+01,3.309332947836308492e+00,1.093254324675084490e+02
2.669478494034320804e+01,3.285915080022742796e+00,1.091833080438324401e+02
2.688001021537606050e+01,3.262576959022369216e+00,1.090417895330188855e+02
2.706652070033241131e+01,3.239318767616173655e+00,1.089008756258873944e+02
2.725432531281029114e+01,3.216140674072407446e+00,1.087605649577537150e+02
2.744343303228365372e+01,3.193042832314164414e+00,1.086208561093469029e+02
2.763385290053169996e+01,3.170025382087933163e+00,1.084817476077222409e+02
2.782559402207124322e+01,3.147088449133045973e+00,1.083432379271696107e+02
2.801866556459195223e+01,3.124232145351918621e+00,1.082053254901171897e+02
2.821307675939472048e+01,3.101456568980968775e+00,1.080680086680299183e+02
2.840883690183304111e+01,3.078761804762101040e+00,1.079312857823027230e+02
2.860595535175741944e+01,3.056147924114706260e+00,1.077951551051481403e+02
2.880444153396296514e+01,3.033614985308011658e+00,1.076596148604781575e+02
2.900430493863991543e+01,3.011163033633768471e+00,1.075246632247798999e+02
2.920555512182746583e+01,2.988792101579104354e+00,1.073902983279852634e+02
2.940820170587063842e+01,2.966502208999528989e+00,1.072565182543338835e+02
2.961225437988034415e+01,2.944293363291947241e+00,1.071233210432294669e+02
2.981772290019671701e+01,2.922165559567632798e+00,1.069907046900893164e+02
3.002461709085549302e+01,2.900118780825078346e+00,1.068586671471868073e+02
3.023294684405777843e+01,2.878152998122623263e+00,1.067272063244866871e+02
3.044272212064302607e+01,2.856268170750810853e+00,1.065963200904727159e+02
3.065395295056526592e+01,2.834464246404380550e+00,1.064660062729682863e+02
3.086664943337272859e+01,2.812741161353835562e+00,1.063362626599487442e+02
3.108082173869063780e+01,2.791098840616522025e+00,1.062070870003464904e+02
3.129648010670752001e+01,2.769537198127139721e+00,1.060784770048476560e+02
3.151363484866479325e+01,2.748056136907628844e+00,1.059504303466809461e+02
